State,HDI
Kerala,0.779
Chandigarh,0.775
Goa,0.761
Lakshadweep,0.750
Delhi,0.746
Andaman and Nicobar Islands,0.739
Puducherry,0.738
Himachal Pradesh,0.725
Punjab,0.723
Sikkim,0.716
Daman and Diu,0.708
Haryana,0.708
Tamil Nadu,0.708
Mizoram,0.705
Maharashtra,0.696
Manipur,0.696
Jammu and Kashmir,0.688
Uttarakhand,0.684
Karnataka,0.682
Nagaland,0.679
Gujarat,0.672
Telangana,0.669
Dadra and Nagar Haveli,0.663
Tripura,0.663
Arunachal Pradesh,0.660
Meghalaya,0.656
Andhra Pradesh,0.650
West Bengal,0.641
Rajasthan,0.629
Assam,0.614
Chhattisgarh,0.613
Odisha,0.606
Madhya Pradesh,0.606
Jharkhand,0.599
Uttar Pradesh,0.596
Bihar,0.576
